trail_id,name,area_name,city_name,state_name,country_name,_geoloc,popularity,length,elevation_gain,difficulty_rating,route_type,visitor_usage,avg_rating,num_reviews,features,activities,units,gpt_rating
10245012,"South Kaibab, Phantom Ranch, and Bright Angel Trail Loop ",Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.05344, 'lng': -112.08364}",31.6323,26875.978,1400.8608,5,point to point,3.0,5.0,519,"['dogs-no', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips']",i,4
10265905,South Kaibab Trail to Ooh Aah Point,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.05309, 'lng': -112.08387}",28.8685,2896.812,210.9216,3,out and back,3.0,5.0,455,"['dogs-no', 'views', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,1
10266148,Grand Canyon Rim Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.05723, 'lng': -112.14378}",28.2035,8690.436,106.9848,1,out and back,3.0,4.5,342,"['ada', 'dogs-leash', 'kids', 'paved', 'strollers', 'views', 'wild-flowers']",['walking'],i,2
10006208,The Beehive Loop Trail,Acadia National Park,Bar Harbor,Maine,United States,"{'lat': 44.33153, 'lng': -68.1852}",43.9161,2253.076,148.7424,5,loop,3.0,5.0,1123,"['beach', 'dogs-no', 'forest', 'lake', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'rock-climbing']",i,1
10011593,Penobscot Mountain Trail,Acadia National Park,Mount Desert,Maine,United States,"{'lat': 44.32023, 'lng': -68.25286}",17.817,4667.086,296.8752,3,out and back,2.0,5.0,163,"['dogs-leash', 'forest', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running']",i,2
10289730,The Bubbles and North Bubble,Acadia National Park,Bar Harbor,Maine,United States,"{'lat': 44.34115, 'lng': -68.25045}",11.8602,2414.01,150.876,3,out and back,3.0,4.5,79,"['dogs-leash', 'forest', 'kids', 'views', 'wild-flowers', 'wildlife']","['hiking', 'nature-trips', 'trail-running', 'walking']",i,2
10007701,Jordan Pond West Side Trail,Acadia National Park,Mount Desert,Maine,United States,"{'lat': 44.32236, 'lng': -68.25308}",11.3141,5310.822,14.9352,3,out and back,2.0,4.5,48,"['dogs-leash', 'forest', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running']",i,2
10006571,Angels Landing Trail,Zion National Park,Springdale,Utah,United States,"{'lat': 37.25928, 'lng': -112.95166}",84.6229,6598.294,492.8616,5,out and back,4.0,5.0,3903,"['dogs-no', 'partially-paved', 'river', 'views', 'wild-flowers', 'wildlife']","['hiking', 'nature-trips', 'trail-running']",i,2
10027395,The Zion Narrows Riverside Walk,Zion National Park,Springdale,Utah,United States,"{'lat': 37.28524, 'lng': -112.94769}",62.5499,2896.812,62.7888,1,out and back,4.0,4.5,1877,"['ada', 'beach', 'dogs-no', 'forest', 'kids', 'partially-paved', 'river', 'strollers', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking', 'canoeing']",i,1
10033258,The Wonderland Trail,Mount Rainier National Park,Longmire,Washington,United States,"{'lat': 46.76641, 'lng': -121.79122}",21.3004,154818.508,7723.9368,7,loop,3.0,4.5,97,"['dogs-no', 'forest', 'lake', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'hiking', 'nature-trips', 'trail-running']",i,4
