TrailID,Trail,Length,elevation_gain,AllTrails Prediction,UMAP Prediction,GPT Prediction
10245012,"South Kaibab, Phantom Ranch, and Bright Angel Trail Loop ",26875.978,1400.8608,3,4,4
10265905,South Kaibab Trail to Ooh Aah Point,2896.812,210.9216,2,1,1
10266148,Grand Canyon Rim Trail,8690.436,106.9848,1,2,2
10006208,The Beehive Loop Trail,2253.076,148.7424,3,1,1
10011593,Penobscot Mountain Trail,4667.086,296.8752,2,2,2
10289730,The Bubbles and North Bubble,2414.01,150.876,2,1,2
10007701,Jordan Pond West Side Trail,5310.822,14.9352,2,2,2
10006571,Angels Landing Trail,6598.294,492.8616,3,2,2
10027395,The Zion Narrows Riverside Walk,2896.812,62.7888,1,1,1
10033258,The Wonderland Trail,154818.508,7723.9368,4,4,4
